uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
A1L3X0,,"TRANSMEM 28..48; /note=""Helical; Name=1""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 73..93; /note=""Helical; Name=2""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 116..136; /note=""Helical; Name=3""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 143..162; /note=""Helical; Name=4""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 172..194; /note=""Helical; Name=5""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 207..227; /note=""Helical; Name=6""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 237..257; /note=""Helical; Name=7""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""","TOPO_DOM 2..27; /note=""Lumenal""; /evidence=""ECO:0000305|PubMed:34117479""; TOPO_DOM 49..72; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:34117479""; TOPO_DOM 94..115; /note=""Lumenal""; /evidence=""ECO:0000305|PubMed:34117479""; TOPO_DOM 137..142; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 163..171; /note=""Lumenal""; /evidence=""ECO:0000305|PubMed:34117479""; TOPO_DOM 195..206; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 228..236; /note=""Lumenal""; /evidence=""ECO:0000305|PubMed:34117479""; TOPO_DOM 258..281; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:34117479""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03207, ECO:0000269|PubMed:20937905}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03207}."
O00291,,,,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Endomembrane system. Cytoplasmic vesicle, clathrin-coated vesicle membrane. Note=Shuttles between cytoplasm and nucleus. Nuclear translocation can be induced by AR."
O00400,,"TRANSMEM 75..95; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 114..134; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 142..162; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 218..238; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 257..277; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 300..320; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 344..364; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 379..398; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 405..425; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 509..529; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..74; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 96..113; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 135..141; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 163..175; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 197..217; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 239..256; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 278..299; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 321..343; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 365..378; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 399..404; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 426..508; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 530..549; /note=""Extracellular""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:20826464, ECO:0000269|PubMed:24828632}; Multi-pass membrane protein {ECO:0000255}."
O00444,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:22020124, ECO:0000269|PubMed:27246242, ECO:0000269|PubMed:27796307}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q64702}. Cleavage furrow {ECO:0000250|UniProtKB:Q64702}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:30804208, ECO:0000269|PubMed:32433990}. Note=Component of the deuterosome, a structure that promotes de novo centriole amplification in multiciliated cells that can generate more than 100 centrioles. Associates with centrioles throughout the cell cycle. According to PubMed:16244668, it is not present at cleavage furrows."
O00487,,,,
O00505,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:34564892}. Nucleus {ECO:0000269|PubMed:34564892}.
O00506,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15037601}. Golgi apparatus {ECO:0000269|PubMed:15037601}. Note=Localizes to the Golgi apparatus.
O14497,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:11318604, ECO:0000269|PubMed:26614907}."
O14757,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11836499, ECO:0000269|PubMed:12676962, ECO:0000269|PubMed:15311285, ECO:0000269|PubMed:15710331, ECO:0000269|PubMed:9278511}. Chromosome {ECO:0000269|PubMed:12676962, ECO:0000269|PubMed:31316063, ECO:0000269|PubMed:9382850}. Cytoplasm {ECO:0000269|PubMed:12676962}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:15311285}. Note=Nuclear export is mediated at least in part by XPO1/CRM1 (PubMed:12676962). Also localizes to the centrosome specifically during interphase, where it may protect centrosomal CDC2 kinase from inappropriate activation by cytoplasmic CDC25B (PubMed:15311285). Proteolytic cleavage at the C-terminus by SPRTN promotes removal from chromatin (PubMed:31316063). {ECO:0000269|PubMed:12676962, ECO:0000269|PubMed:15311285, ECO:0000269|PubMed:31316063}."
O15111,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12789342, ECO:0000269|PubMed:30341167}. Nucleus {ECO:0000269|PubMed:12789342}. Note=Shuttles between the cytoplasm and the nucleus."
O15120,"SIGNAL 1..23; /evidence=""ECO:0000255""","TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 122..142; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 24..29; /note=""Lumenal""; /evidence=""ECO:0000305""; TOPO_DOM 51..121; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 143..278; /note=""Lumenal""; /evidence=""ECO:0000305""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21873652}; Multi-pass membrane protein {ECO:0000255}.
O15127,,"TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 219..239; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 263..283; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..153; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 175..181; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 203..218; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 240..262; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 284..329; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}. Recycling endosome membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}."
A0JLT2,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O00233,,,,
O00425,,,,"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, P-body {ECO:0000269|PubMed:29476152}. Cytoplasm, Stress granule {ECO:0000269|PubMed:29476152}. Note=Found in lamellipodia of the leading edge, in the perinuclear region, and beneath the plasma membrane. The subcytoplasmic localization is cell specific and regulated by cell contact and growth. Localized at the connecting piece and the tail of the spermatozoa. Colocalized with CD44 mRNA in RNP granules. In response to cellular stress, such as oxidative stress, recruited to stress granules."
O14495,,"TRANSMEM 34..54; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 86..106; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 123..143; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 194..214; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 226..243; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 258..278; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..33; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:12660161""; TOPO_DOM 55..85; /note=""Extracellular""; /evidence=""ECO:0000305|PubMed:12660161""; TOPO_DOM 107..122; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:12660161""; TOPO_DOM 144..193; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:12660161""; TOPO_DOM 215..225; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:12660161""; TOPO_DOM 244..257; /note=""Extracellular""; /evidence=""ECO:0000305|PubMed:12660161""; TOPO_DOM 279..311; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:12660161""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12660161, ECO:0000269|PubMed:20123964, ECO:0000269|PubMed:9705349}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Basolateral cell membrane {ECO:0000269|PubMed:14527693}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:23591818}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:23591818}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Golgi apparatus membrane {ECO:0000269|PubMed:23591818}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:23591818}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Membrane raft {ECO:0000269|PubMed:17005594}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97544}. Note=Cycles between the endoplasmic reticulum and the Golgi. {ECO:0000269|PubMed:23591818}."
O14966,,,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:38127736}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24788816}. Golgi apparatus {ECO:0000269|PubMed:22042847}. Golgi apparatus membrane {ECO:0000269|PubMed:38127736}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}. Vacuole {ECO:0000269|PubMed:22042847}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22042847}. Note=Colocalizes with LRRK2 along tubular structures emerging from Golgi apparatus (PubMed:29212815). Colocalizes with GM130 at the Golgi apparatus (PubMed:22042847). Colocalizes with dynamic tubules emerging from and retracting to the Golgi apparatus (PubMed:22042847, PubMed:38127736). Colocalizes with TGN46 at the trans-Golgi network (TGN) (PubMed:24788816). In Salmonella enterica serovar Typhi (S.typhi) infected epithelial cells, is recruited and colocalized with both S.typhi-containing vacuoles and dynamic tubules as well as those emerging from the vacuole toward the cell periphery (PubMed:22042847). {ECO:0000269|PubMed:22042847, ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815, ECO:0000269|PubMed:38127736}."
O15066,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}. Cell projection, cilium {ECO:0000250|UniProtKB:Q61771}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q61771}."
O15131,,,,SUBCELLULAR LOCATION: Cytoplasm.
O15155,,"TRANSMEM 95..115; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""","TOPO_DOM 1..94; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 116..118; /note=""Vesicular""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:34779586}; Single-pass type IV membrane protein {ECO:0000250}. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:34779586}. Golgi apparatus membrane {ECO:0000250}. Note=Concentrated most in the intermediate compartment/cis-Golgi network and the cis-Golgi cisternae 1 and 2. Greatly reduced in concentration at the trans end of the Golgi apparatus (By similarity). {ECO:0000250}."
O15182,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:9256449}. Nucleus, nucleolus {ECO:0000303|PubMed:22307388}. Nucleus envelope {ECO:0000269|PubMed:23591820}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:23591820}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:23591820, ECO:0000269|PubMed:26337392}. Note=Centrosome of interphase and mitotic cells (PubMed:9256449). Localizes to centriole distal lumen (PubMed:26337392). Localization at the nuclear pore complex requires NUP153 and TPR (PubMed:23591820). {ECO:0000269|PubMed:23591820, ECO:0000269|PubMed:26337392, ECO:0000269|PubMed:9256449}."
O15213,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:23848194, ECO:0000269|PubMed:34516797}."
O15258,,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 63..83; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 118..138; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 2..40; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 62; /note=""Lumenal""; /evidence=""ECO:0000305""; TOPO_DOM 84..117; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 139; /note=""Lumenal""; /evidence=""ECO:0000305""; TOPO_DOM 161..196; /note=""Cytoplasmic""; /evidence=""ECO:0000305""","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:9309388}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:28877262}."
O00232,,,,
O00264,,"TRANSMEM 25..43; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..24; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 44..195; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:Q95250}; Single-pass membrane protein {ECO:0000255}. Smooth endoplasmic reticulum membrane {ECO:0000303|PubMed:28396637}; Single-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:O55022}; Single-pass membrane protein {ECO:0000305}; Extracellular side {ECO:0000250|UniProtKB:O55022}. Secreted {ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}. Note=Localized at cell membrane, probably in lipid rafts, in serum-starved conditions. {ECO:0000269|PubMed:30443021}."
O00401,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9422512}. Nucleus {ECO:0000269|PubMed:16767080}. Cytoplasm {ECO:0000250|UniProtKB:Q91YD9}. Note=Preferentially localized in the cytoplasm when phosphorylated and in the nucleus when unphosphorylated (By similarity). Exported from the nucleus by an nuclear export signal (NES)-dependent mechanism to the cytoplasm (By similarity). {ECO:0000250|UniProtKB:Q91YD9}."
O00443,,,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472, ECO:0000269|PubMed:17038310}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472}. Nucleus {ECO:0000269|PubMed:11606566}. Cytoplasm {ECO:0000269|PubMed:11606566, ECO:0000269|PubMed:14563213}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472}. Note=Inserts preferentially into membranes containing PtdIns(4,5)P2 (PubMed:17038310). Associated with RNA-containing structures (PubMed:11606566). {ECO:0000269|PubMed:11606566, ECO:0000269|PubMed:17038310}."
O00541,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus. Nucleus, nucleoplasm. Chromosome. Note=Appears to localize to the periphery of metaphase chromosomes during mitosis and to the prenucleolar bodies that form in mitotic cells prior to the actual nucleoli. {ECO:0000255|HAMAP-Rule:MF_03028}."
O14732,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17068342}.
O14810,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P63040}. Perikaryon {ECO:0000250|UniProtKB:P63040}. Presynapse {ECO:0000250|UniProtKB:P63040}. Note=Enriched at synaptic-releasing sites in mature neurons. {ECO:0000250|UniProtKB:P63040}."
O14950,,,,
O14964,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9JJ50}. Early endosome membrane {ECO:0000269|PubMed:23166352, ECO:0000269|PubMed:24790097}; Peripheral membrane protein {ECO:0000305|PubMed:23166352, ECO:0000305|PubMed:24790097}; Cytoplasmic side {ECO:0000305|PubMed:23166352, ECO:0000305|PubMed:24790097}. Endosome, multivesicular body membrane {ECO:0000250|UniProtKB:Q9JJ50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9JJ50}. Note=Colocalizes with UBQLN1 in ubiquitin-rich cytoplasmic aggregates that are not endocytic compartments. {ECO:0000269|PubMed:16159959}."
O15084,,,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:16564677}. Cytoplasm, cytosol {ECO:0000269|PubMed:35512830}. Cell projection, lamellipodium {ECO:0000269|PubMed:35512830}. Note=Seems to be excluded from nucleoli. Mostly localized in the cytosol, but a fraction could be observed at the lamellipodia (PubMed:35512830). {ECO:0000269|PubMed:35512830}."
