row_id,ENSG,y,fold
0,ENSG00000127837,1,2
1,ENSG00000275700,1,4
2,ENSG00000164163,1,3
3,ENSG00000278741,1,3
4,ENSG00000114331,1,0
5,ENSG00000131584,1,3
6,ENSG00000131473,1,4
7,ENSG00000075624,1,2
8,ENSG00000184009,1,2
9,ENSG00000072110,1,4
10,ENSG00000130402,1,3
11,ENSG00000138071,1,1
12,ENSG00000101442,1,2
13,ENSG00000157985,1,0
14,ENSG00000133612,1,2
15,ENSG00000092847,1,0
16,ENSG00000123908,1,1
17,ENSG00000169692,1,4
18,ENSG00000177674,1,2
19,ENSG00000101444,1,2
20,ENSG00000100591,1,3
21,ENSG00000131016,1,0
22,ENSG00000170776,1,4
23,ENSG00000011243,1,4
24,ENSG00000117448,1,4
25,ENSG00000142208,1,2
26,ENSG00000204673,1,3
27,ENSG00000105221,1,2
28,ENSG00000170017,1,3
29,ENSG00000161618,1,4
30,ENSG00000143149,1,1
31,ENSG00000119523,1,2
32,ENSG00000110497,1,4
33,ENSG00000141552,1,2
34,ENSG00000166295,1,3
35,ENSG00000176248,1,3
36,ENSG00000053900,1,3
37,ENSG00000088448,1,0
38,ENSG00000167522,1,0
39,ENSG00000076513,1,4
40,ENSG00000118454,1,2
41,ENSG00000132466,1,2
42,ENSG00000105186,1,4
43,ENSG00000206560,1,4
44,ENSG00000213337,1,3
45,ENSG00000154945,1,1
46,ENSG00000186106,1,0
47,ENSG00000139645,1,0
48,ENSG00000100124,1,3
49,ENSG00000163516,1,0
50,ENSG00000122359,1,3
51,ENSG00000006125,1,1
52,ENSG00000042753,1,2
53,ENSG00000134982,1,2
54,ENSG00000157500,1,0
55,ENSG00000136044,1,3
56,ENSG00000078061,1,0
57,ENSG00000143761,1,0
58,ENSG00000134287,1,2
59,ENSG00000168374,1,3
60,ENSG00000004059,1,1
61,ENSG00000165527,1,1
62,ENSG00000101199,1,3
63,ENSG00000149182,1,1
64,ENSG00000242247,1,4
65,ENSG00000066777,1,3
66,ENSG00000124198,1,0
67,ENSG00000164144,1,4
68,ENSG00000132254,1,0
69,ENSG00000175220,1,0
70,ENSG00000198826,1,1
71,ENSG00000140750,1,2
72,ENSG00000107863,1,2
73,ENSG00000160007,1,0
74,ENSG00000241484,1,3
75,ENSG00000196914,1,4
76,ENSG00000104880,1,3
77,ENSG00000102606,1,1
78,ENSG00000117713,1,4
79,ENSG00000049618,1,2
80,ENSG00000120805,1,0
81,ENSG00000169379,1,2
82,ENSG00000152219,1,0
83,ENSG00000213465,1,2
84,ENSG00000102931,1,3
85,ENSG00000138175,1,1
86,ENSG00000113966,1,2
87,ENSG00000170540,1,4
88,ENSG00000182196,1,3
89,ENSG00000144746,1,4
90,ENSG00000177917,1,0
91,ENSG00000143862,1,0
92,ENSG00000134108,1,0
93,ENSG00000163466,1,2
94,ENSG00000111229,1,3
95,ENSG00000130707,1,2
96,ENSG00000123395,1,2
97,ENSG00000145782,1,3
98,ENSG00000175224,1,1
99,ENSG00000126775,1,4
100,ENSG00000110046,1,3
101,ENSG00000066739,1,3
102,ENSG00000144848,1,0
103,ENSG00000168397,1,4
104,ENSG00000197548,1,4
105,ENSG00000198925,1,3
106,ENSG00000119787,1,0
107,ENSG00000184743,1,4
108,ENSG00000149311,1,3
109,ENSG00000163399,1,4
110,ENSG00000070961,1,3
111,ENSG00000071553,1,0
112,ENSG00000182220,1,4
113,ENSG00000033627,1,1
114,ENSG00000185344,1,4
115,ENSG00000159720,1,4
116,ENSG00000113732,1,4
117,ENSG00000114573,1,3
118,ENSG00000147416,1,1
119,ENSG00000100554,1,4
120,ENSG00000128524,1,1
121,ENSG00000136888,1,4
122,ENSG00000047249,1,2
123,ENSG00000130638,1,2
124,ENSG00000168488,1,0
125,ENSG00000066427,1,4
126,ENSG00000178999,1,4
127,ENSG00000156735,1,0
128,ENSG00000204463,1,1
129,ENSG00000175866,1,3
130,ENSG00000006453,1,2
131,ENSG00000175334,1,3
132,ENSG00000198604,1,3
133,ENSG00000009954,1,0
134,ENSG00000185825,1,2
135,ENSG00000050820,1,2
136,ENSG00000126581,1,4
137,ENSG00000105829,1,1
138,ENSG00000177951,1,1
139,ENSG00000136717,1,4
140,ENSG00000147439,1,1
141,ENSG00000197299,1,0
142,ENSG00000106605,1,2
143,ENSG00000090013,1,3
144,ENSG00000165733,1,4
145,ENSG00000113734,1,4
146,ENSG00000261236,1,3
147,ENSG00000162813,1,3
148,ENSG00000204256,1,2
149,ENSG00000169925,1,4
150,ENSG00000141867,1,4
151,ENSG00000145741,1,4
152,ENSG00000169679,1,1
153,ENSG00000156970,1,2
154,ENSG00000071462,1,4
155,ENSG00000112578,1,1
156,ENSG00000111678,1,4
157,ENSG00000179933,1,2
158,ENSG00000141428,1,4
159,ENSG00000104979,1,1
160,ENSG00000146540,1,4
161,ENSG00000182307,1,4
162,ENSG00000171159,1,0
163,ENSG00000136819,1,3
164,ENSG00000084774,1,3
165,ENSG00000122786,1,2
166,ENSG00000198668,1,2
167,ENSG00000143933,1,0
168,ENSG00000160014,1,3
169,ENSG00000134072,1,4
170,ENSG00000148660,1,1
171,ENSG00000283777,1,1
172,ENSG00000135387,1,2
173,ENSG00000077549,1,0
174,ENSG00000106144,1,0
175,ENSG00000164305,1,3
176,ENSG00000138794,1,2
177,ENSG00000165806,1,3
178,ENSG00000108468,1,2
179,ENSG00000060339,1,1
180,ENSG00000101997,1,1
181,ENSG00000108588,1,3
182,ENSG00000110104,1,3
183,ENSG00000125633,1,2
184,ENSG00000134057,1,2
185,ENSG00000166226,1,2
186,ENSG00000163468,1,1
187,ENSG00000115484,1,2
188,ENSG00000150753,1,3
189,ENSG00000146731,1,3
190,ENSG00000135624,1,3
191,ENSG00000156261,1,4
192,ENSG00000146574,1,0
193,ENSG00000177697,1,2
194,ENSG00000169217,1,1
195,ENSG00000135404,1,1
196,ENSG00000110651,1,2
197,ENSG00000010278,1,4
198,ENSG00000130177,1,0
199,ENSG00000117399,1,4
200,ENSG00000094880,1,1
201,ENSG00000176386,1,4
202,ENSG00000004897,1,3
203,ENSG00000105401,1,2
204,ENSG00000070831,1,0
205,ENSG00000198752,1,0
206,ENSG00000097046,1,3
207,ENSG00000170558,1,0
208,ENSG00000103502,1,1
209,ENSG00000170312,1,4
210,ENSG00000248333,1,0
211,ENSG00000167258,1,2
212,ENSG00000065883,1,3
213,ENSG00000123374,1,0
214,ENSG00000135446,1,2
215,ENSG00000164885,1,1
216,ENSG00000277273,1,4
217,ENSG00000136807,1,2
218,ENSG00000147889,1,1
219,ENSG00000163624,1,2
220,ENSG00000101290,1,0
221,ENSG00000115163,1,0
222,ENSG00000100162,1,4
223,ENSG00000203760,1,4
224,ENSG00000141577,1,2
225,ENSG00000174799,1,4
226,ENSG00000110274,1,2
227,ENSG00000143702,1,1
228,ENSG00000101639,1,0
229,ENSG00000126001,1,1
230,ENSG00000135837,1,2
231,ENSG00000112877,1,3
232,ENSG00000148019,1,3
233,ENSG00000130695,1,3
234,ENSG00000134255,1,3
235,ENSG00000139624,1,4
236,ENSG00000172292,1,1
237,ENSG00000113163,1,3
238,ENSG00000147400,1,2
239,ENSG00000153140,1,0
240,ENSG00000159079,1,2
241,ENSG00000149554,1,3
242,ENSG00000183765,1,2
243,ENSG00000188419,1,2
244,ENSG00000131165,1,1
245,ENSG00000130724,1,3
246,ENSG00000083937,1,0
247,ENSG00000115561,1,3
248,ENSG00000254505,1,1
249,ENSG00000101421,1,3
250,ENSG00000176108,1,0
251,ENSG00000147457,1,3
252,ENSG00000128656,1,3
253,ENSG00000111666,1,3
254,ENSG00000213341,1,2
255,ENSG00000136108,1,3
256,ENSG00000169607,1,3
257,ENSG00000136026,1,0
258,ENSG00000175216,1,4
259,ENSG00000166165,1,4
260,ENSG00000074054,1,2
261,ENSG00000163539,1,2
262,ENSG00000103249,1,0
263,ENSG00000113282,1,2
264,ENSG00000130779,1,0
265,ENSG00000176444,1,2
266,ENSG00000179335,1,3
267,ENSG00000074201,1,1
268,ENSG00000104853,1,2
269,ENSG00000122705,1,4
270,ENSG00000175416,1,0
271,ENSG00000141367,1,0
272,ENSG00000169714,1,3
273,ENSG00000064666,1,1
274,ENSG00000121058,1,4
275,ENSG00000173163,1,2
276,ENSG00000114744,1,2
277,ENSG00000140365,1,0
278,ENSG00000188243,1,2
279,ENSG00000122218,1,0
280,ENSG00000184432,1,3
281,ENSG00000105669,1,4
282,ENSG00000181789,1,2
283,ENSG00000158623,1,0
284,ENSG00000111481,1,0
285,ENSG00000172725,1,1
286,ENSG00000110880,1,0
287,ENSG00000111605,1,0
288,ENSG00000124207,1,2
289,ENSG00000103653,1,3
290,ENSG00000113712,1,2
291,ENSG00000141551,1,0
292,ENSG00000213923,1,4
293,ENSG00000151292,1,3
294,ENSG00000101266,1,3
295,ENSG00000070770,1,4
296,ENSG00000204435,1,1
297,ENSG00000159692,1,2
298,ENSG00000175029,1,4
299,ENSG00000102974,1,1
300,ENSG00000168036,1,3
301,ENSG00000132792,1,3
302,ENSG00000171793,1,1
303,ENSG00000085733,1,2
304,ENSG00000119929,1,0
305,ENSG00000100243,1,2
306,ENSG00000001630,1,4
307,ENSG00000162384,1,0
308,ENSG00000129562,1,4
309,ENSG00000167657,1,2
310,ENSG00000003249,1,3
311,ENSG00000136279,1,3
312,ENSG00000272886,1,0
313,ENSG00000151065,1,1
314,ENSG00000172795,1,3
315,ENSG00000175203,1,3
316,ENSG00000167986,1,4
317,ENSG00000244038,1,2
318,ENSG00000165732,1,4
319,ENSG00000198563,1,4
320,ENSG00000213782,1,3
321,ENSG00000108654,1,3
322,ENSG00000136271,1,4
323,ENSG00000110367,1,3
324,ENSG00000143753,1,2
325,ENSG00000035499,1,4
326,ENSG00000116133,1,1
327,ENSG00000150990,1,3
328,ENSG00000135829,1,1
329,ENSG00000131504,1,1
330,ENSG00000130826,1,4
331,ENSG00000086061,1,2
332,ENSG00000069345,1,3
333,ENSG00000132002,1,4
334,ENSG00000135924,1,0
335,ENSG00000162616,1,2
336,ENSG00000105993,1,1
337,ENSG00000007923,1,1
338,ENSG00000138246,1,1
339,ENSG00000104129,1,4
340,ENSG00000170464,1,4
341,ENSG00000105821,1,3
342,ENSG00000170946,1,3
343,ENSG00000101152,1,0
344,ENSG00000168259,1,0
345,ENSG00000126698,1,4
346,ENSG00000213551,1,3
347,ENSG00000106976,1,2
348,ENSG00000087470,1,2
349,ENSG00000079805,1,1
350,ENSG00000101457,1,4
351,ENSG00000147251,1,1
352,ENSG00000116641,1,2
353,ENSG00000132768,1,2
354,ENSG00000185721,1,3
355,ENSG00000197102,1,1
356,ENSG00000077380,1,2
357,ENSG00000144635,1,4
358,ENSG00000135720,1,0
359,ENSG00000138036,1,2
360,ENSG00000088986,1,2
361,ENSG00000264364,1,4
362,ENSG00000117395,1,3
363,ENSG00000147155,1,1
364,ENSG00000136813,1,4
365,ENSG00000114346,1,3
366,ENSG00000179151,1,3
367,ENSG00000038358,1,1
368,ENSG00000107223,1,0
369,ENSG00000102189,1,3
370,ENSG00000254772,1,1
371,ENSG00000108883,1,0
372,ENSG00000055332,1,1
373,ENSG00000130741,1,4
374,ENSG00000106263,1,2
375,ENSG00000104408,1,0
376,ENSG00000130811,1,3
377,ENSG00000084623,1,3
378,ENSG00000178982,1,4
379,ENSG00000149100,1,0
380,ENSG00000161960,1,1
381,ENSG00000141543,1,4
382,ENSG00000100664,1,2
383,ENSG00000066322,1,1
384,ENSG00000012660,1,4
385,ENSG00000170522,1,1
386,ENSG00000127463,1,3
387,ENSG00000161671,1,4
388,ENSG00000104412,1,4
389,ENSG00000125037,1,3
390,ENSG00000128463,1,1
391,ENSG00000134153,1,3
392,ENSG00000131148,1,0
