gene_symbol,protein_name,terminus,tag,linker,method,cell_line,outcome,readout,outcome_detail,document_id,citation,title,journal,year,doi,evidence_lines
actb,,not_stated,eGFP,,,,fail,,"As previously reported, the actb-eGFP tag was embryonic lethal and we could not obtain a line for that locus.",PMC8691840,Ali Seleit et al.,Endogenous protein tagging in medaka using a simplified CRISPR/Cas9 knock-in approach,eLife,2021.0,10.7554/eLife.75050.sa2,L16
NOS2,,not_stated,not_stated,,,RAW 264.7,fail,,"We have tried and been unsuccessful in using this protocol (and its associated troubleshooting steps) to tag NOS2 and FCGR1, and when we tagged STAT1, its function was perturbed.",PMC10958172,Beverly Naigles et al.,"Genetic Knock-Ins of Endogenous Fluorescent Tags in RAW 264.7 Murine
Macrophages Using CRISPR/Cas9 Genome Editing",Bio-protocol,2024.0,10.21769/BioProtoc.4960,L29
FCGR1,,not_stated,not_stated,,,RAW 264.7,fail,,"We have tried and been unsuccessful in using this protocol (and its associated troubleshooting steps) to tag NOS2 and FCGR1, and when we tagged STAT1, its function was perturbed.",PMC10958172,Beverly Naigles et al.,"Genetic Knock-Ins of Endogenous Fluorescent Tags in RAW 264.7 Murine
Macrophages Using CRISPR/Cas9 Genome Editing",Bio-protocol,2024.0,10.21769/BioProtoc.4960,L29
STAT1,,not_stated,not_stated,,,RAW 264.7,partial,,"We have tried and been unsuccessful in using this protocol (and its associated troubleshooting steps) to tag NOS2 and FCGR1, and when we tagged STAT1, its function was perturbed.",PMC10958172,Beverly Naigles et al.,"Genetic Knock-Ins of Endogenous Fluorescent Tags in RAW 264.7 Murine
Macrophages Using CRISPR/Cas9 Genome Editing",Bio-protocol,2024.0,10.21769/BioProtoc.4960,L29
Cdc12,,C,mTagBFP2,,,,partial,,"mTagBFP2 shows moderate perturbation to Cdc12 function, with some mislocalized Cdc12 and misshapen cells.",PMC3699464,Sidae Lee et al.,"Improved Blue, Green, and Red Fluorescent Protein Tagging Vectors for  S. cerevisiae",PLoS ONE,2013.0,10.1371/journal.pone.0067902,L45-L46
Cdc12,,C,mKO2,,,,fail,,"In particular, a large fraction of Cdc12-mKO2 and Cdc12-mKate2 cells show mislocalized Cdc12, while fusions to the other red fluorescent proteins appear to function normally.",PMC3699464,Sidae Lee et al.,"Improved Blue, Green, and Red Fluorescent Protein Tagging Vectors for  S. cerevisiae",PLoS ONE,2013.0,10.1371/journal.pone.0067902,L45-L46
Cdc12,,C,mKate2,,,,fail,,"In particular, a large fraction of Cdc12-mKO2 and Cdc12-mKate2 cells show mislocalized Cdc12, while fusions to the other red fluorescent proteins appear to function normally.",PMC3699464,Sidae Lee et al.,"Improved Blue, Green, and Red Fluorescent Protein Tagging Vectors for  S. cerevisiae",PLoS ONE,2013.0,10.1371/journal.pone.0067902,L45-L46
DHH1,,N,mCh2,,,,partial,,"Western blot analysis showed that tags also affected Dhh1 expression levels, with mCh2-Dhh1 expression ~50% lower than GFP-Dhh1.",PMC11974960,Edoardo Fatti et al.,The dark side of fluorescent protein tagging—the impact of protein tags on biomolecular condensation,Molecular Biology of the Cell,2025.0,10.1091/mbc.E24-11-0521,L26
DHH1,,N,mCherry,,,,partial,,Western blotting showed that N-terminal tagging resulted in comparable expression levels for all Dhh1 constructs except the poorly expressed mCherry variant.,PMC11974960,Edoardo Fatti et al.,The dark side of fluorescent protein tagging—the impact of protein tags on biomolecular condensation,Molecular Biology of the Cell,2025.0,10.1091/mbc.E24-11-0521,L28
DHH1,,C,mNeonGreen,,,,partial,,"By contrast, C-terminal tagging led to variable expression levels, with a ~50% reduction for mNeonGreen, mCherry, mKate2, and mRuby2 compared with mTurquoise2.",PMC11974960,Edoardo Fatti et al.,The dark side of fluorescent protein tagging—the impact of protein tags on biomolecular condensation,Molecular Biology of the Cell,2025.0,10.1091/mbc.E24-11-0521,L28
DHH1,,C,mCherry,,,,partial,,"By contrast, C-terminal tagging led to variable expression levels, with a ~50% reduction for mNeonGreen, mCherry, mKate2, and mRuby2 compared with mTurquoise2.",PMC11974960,Edoardo Fatti et al.,The dark side of fluorescent protein tagging—the impact of protein tags on biomolecular condensation,Molecular Biology of the Cell,2025.0,10.1091/mbc.E24-11-0521,L28
DHH1,,C,mKate2,,,,partial,,"By contrast, C-terminal tagging led to variable expression levels, with a ~50% reduction for mNeonGreen, mCherry, mKate2, and mRuby2 compared with mTurquoise2.",PMC11974960,Edoardo Fatti et al.,The dark side of fluorescent protein tagging—the impact of protein tags on biomolecular condensation,Molecular Biology of the Cell,2025.0,10.1091/mbc.E24-11-0521,L28
DHH1,,C,mRuby2,,,,partial,,"By contrast, C-terminal tagging led to variable expression levels, with a ~50% reduction for mNeonGreen, mCherry, mKate2, and mRuby2 compared with mTurquoise2.",PMC11974960,Edoardo Fatti et al.,The dark side of fluorescent protein tagging—the impact of protein tags on biomolecular condensation,Molecular Biology of the Cell,2025.0,10.1091/mbc.E24-11-0521,L28
Ddx3x,,N,AID,,,,partial,,"Across tissues, the tagged protein was expressed at levels that were qualitatively lower than wildtype, but the small bandshift precluded quantitation and multi-tissue comparison.",PMC12407551,Gillian C. A. Taylor et al.,Tissue-specific consequences of tag fusions on protein expression in transgenic mice,PLOS Genetics,2025.0,10.1371/journal.pgen.1011830.r004,L29
Ncaph,,C,AID:Clover,,,,partial,,For the fourth line (Ncaph AID:Clover ; Rosa26 Tir1) we used neonatal tissues due to the restricted expression profile in adults.,PMC12407551,Gillian C. A. Taylor et al.,Tissue-specific consequences of tag fusions on protein expression in transgenic mice,PLOS Genetics,2025.0,10.1371/journal.pgen.1011830.r004,L29
ifg-1,IFG-1,N,V5,,CRISPR engineering,,fail,,Tagged forms containing the V5 epitope caused embryonic arrest.,PMC11880934,Brooke Barker et al.,Epitope tags are not created equal: Disruption of cellular function of a translation factor by a short viral tag,microPublication Biology,2025.0,10.17912/micropub.biology.001452,"L5, L9"
ifg-1,IFG-1,N,V5::mCherry,,CRISPR engineering,,fail,,"All tags containing the V5 epitope presented a 0% hatching rate at all temperatures, arresting prior to hatching.",PMC11880934,Brooke Barker et al.,Epitope tags are not created equal: Disruption of cellular function of a translation factor by a short viral tag,microPublication Biology,2025.0,10.17912/micropub.biology.001452,"L5, L9"
DDC1,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western analysis,Analysis of the tagged proteins revealed an unexpected general effect on protein level when some specific tagging module was used.,PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,"L24, L26"
CLN2,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western analysis,"As observed for Ddc1, a clear decrease in the detected amount of 3xHA-tagged Cln2, Pkc1, Slt2, Rad53 and in a lesser extent Swi5 proteins compared to their respective wild-type protein was revealed by the use of specific antibodies.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L25-L26
