row_id,ENSG,y,fold
0,ENSG00000127837,0,4
1,ENSG00000275700,1,0
2,ENSG00000164163,1,0
3,ENSG00000278741,1,2
4,ENSG00000114331,1,1
5,ENSG00000131584,1,1
6,ENSG00000131473,0,4
7,ENSG00000075624,1,1
8,ENSG00000184009,1,1
9,ENSG00000072110,0,0
10,ENSG00000130402,0,1
11,ENSG00000138071,0,1
12,ENSG00000101442,0,3
13,ENSG00000157985,1,0
14,ENSG00000133612,1,4
15,ENSG00000092847,1,2
16,ENSG00000123908,1,0
17,ENSG00000169692,0,3
18,ENSG00000177674,0,0
19,ENSG00000101444,1,2
20,ENSG00000100591,1,1
21,ENSG00000131016,0,2
22,ENSG00000170776,0,3
23,ENSG00000011243,0,0
24,ENSG00000117448,0,4
25,ENSG00000142208,0,2
26,ENSG00000204673,1,0
27,ENSG00000105221,1,2
28,ENSG00000170017,0,0
29,ENSG00000161618,1,1
30,ENSG00000143149,1,0
31,ENSG00000119523,0,2
32,ENSG00000110497,1,1
33,ENSG00000141552,1,0
34,ENSG00000166295,1,3
35,ENSG00000176248,1,1
36,ENSG00000053900,0,2
37,ENSG00000088448,1,3
38,ENSG00000167522,1,1
39,ENSG00000076513,1,4
40,ENSG00000118454,1,1
41,ENSG00000132466,1,3
42,ENSG00000105186,0,4
43,ENSG00000206560,1,3
44,ENSG00000213337,1,3
45,ENSG00000154945,1,2
46,ENSG00000186106,1,3
47,ENSG00000139645,1,4
48,ENSG00000100124,1,3
49,ENSG00000163516,1,3
50,ENSG00000122359,0,3
51,ENSG00000006125,0,0
52,ENSG00000042753,0,2
53,ENSG00000134982,0,1
54,ENSG00000157500,1,2
55,ENSG00000136044,1,1
56,ENSG00000078061,1,2
57,ENSG00000143761,0,3
58,ENSG00000134287,0,2
59,ENSG00000168374,0,0
60,ENSG00000004059,0,3
61,ENSG00000165527,0,4
62,ENSG00000101199,0,1
63,ENSG00000149182,0,1
64,ENSG00000242247,0,3
65,ENSG00000066777,1,3
66,ENSG00000124198,1,0
67,ENSG00000164144,1,1
68,ENSG00000132254,0,4
69,ENSG00000175220,1,1
70,ENSG00000198826,1,4
71,ENSG00000140750,0,1
72,ENSG00000107863,1,0
73,ENSG00000160007,1,1
74,ENSG00000241484,1,3
75,ENSG00000196914,1,4
76,ENSG00000104880,1,3
77,ENSG00000102606,1,1
78,ENSG00000117713,1,4
79,ENSG00000049618,1,0
80,ENSG00000120805,0,0
81,ENSG00000169379,0,4
82,ENSG00000152219,0,0
83,ENSG00000213465,0,4
84,ENSG00000102931,0,3
85,ENSG00000138175,0,0
86,ENSG00000113966,0,1
87,ENSG00000170540,1,3
